Wavelength (micron)	F2 Net System Transmission with H Filter (BARR MAN114A; Gemini ID H_G0803)(1=100%)
1.8718	0.0001
1.8723	0.0001
1.8728	0.0000
1.8733	0.0001
1.8738	0.0001
1.8743	0.0001
1.8748	0.0001
1.8753	0.0001
1.8758	0.0001
1.8763	0.0001
1.8768	0.0001
1.8773	0.0000
1.8778	0.0001
1.8783	0.0000
1.8788	0.0001
1.8793	0.0000
1.8798	0.0001
1.8803	0.0001
1.8808	0.0001
1.8813	0.0001
1.8818	0.0001
1.8823	0.0001
1.8828	0.0000
1.8833	0.0001
1.8838	0.0000
1.8843	0.0000
1.8848	0.0000
1.8853	0.0000
1.8858	0.0001
1.8863	0.0000
1.8868	0.0001
1.8873	0.0001
1.8878	0.0001
1.8883	0.0001
1.8888	0.0001
1.8893	0.0000
1.8898	0.0000
1.8903	0.0000
1.8908	0.0001
1.8913	0.0000
1.8918	0.0001
1.8923	0.0001
1.8928	0.0001
1.8933	0.0000
1.8938	0.0000
1.8943	0.0001
1.8948	0.0001
1.8953	0.0000
1.8958	0.0000
1.8963	0.0001
